Elapsed time(s)	Potential(V)	Current(A)
6.516120e-02	3.064751e+00	-1.382828e-06
1.533382e-01	1.825836e+00	-6.198883e-07
2.444888e-01	1.744865e+00	-6.198883e-07
3.330265e-01	1.687717e+00	-6.318092e-07
4.207778e-01	1.642479e+00	-5.960464e-07
5.087509e-01	1.604023e+00	-5.722046e-07
5.967872e-01	1.568672e+00	-6.198883e-07
6.848028e-01	1.534863e+00	-5.602837e-07
7.739816e-01	1.506893e+00	-6.079674e-07
8.604851e-01	1.487518e+00	-6.198883e-07
9.489874e-01	1.471252e+00	-6.198883e-07
1.037039e+00	1.445709e+00	-6.198883e-07
1.124425e+00	1.427933e+00	-5.960464e-07
1.212813e+00	1.414429e+00	-5.960464e-07
1.300827e+00	1.398785e+00	-6.198883e-07
1.389289e+00	1.382191e+00	-6.318092e-07
1.477352e+00	1.364971e+00	-6.318092e-07
1.564399e+00	1.349190e+00	-5.722046e-07
1.652940e+00	1.334522e+00	-6.079674e-07
1.740938e+00	1.319618e+00	-6.079674e-07
1.828514e+00	1.304779e+00	-6.079674e-07
1.917129e+00	1.289696e+00	-5.364418e-07
2.004637e+00	1.276051e+00	-5.602837e-07
2.092867e+00	1.262203e+00	-6.318092e-07
2.180658e+00	1.246498e+00	-6.318092e-07
