Elapsed time(s)	Potential(V)	Current(A)
1.870977e-01	-2.622223e-02	-6.437302e-07
2.753412e-01	-3.574371e-03	-5.006790e-07
3.631446e-01	-1.016617e-02	-5.841255e-07
4.512914e-01	-3.467560e-03	-5.722046e-07
7.152277e-01	-1.979065e-02	-6.079674e-07
8.032082e-01	-2.411652e-02	-6.198883e-07
8.917012e-01	-2.662277e-02	-6.079674e-07
9.791975e-01	-1.917267e-02	-6.437302e-07
1.243084e+00	-1.608658e-02	-5.841255e-07
2.563184e+00	-1.747513e-02	-5.841255e-07
2.650689e+00	-1.014709e-02	-5.364418e-07
2.738932e+00	-4.505157e-03	-5.483627e-07
3.002888e+00	-6.278992e-03	-5.602837e-07
3.090799e+00	-8.880615e-03	-5.841255e-07
3.179341e+00	-3.780365e-03	-6.914139e-07
3.266843e+00	-7.740021e-03	-5.841255e-07
3.531378e+00	-6.904602e-03	-6.437302e-07
3.618993e+00	-5.336761e-03	-6.318092e-07
